Time,Rabbit,Fox,FPS
398,42,0,32
399,42,0,49
400,39,0,51
401,37,0,31
402,37,0,67
403,37,0,76
404,37,0,99
405,38,0,76
406,39,0,46
407,40,0,56
408,42,0,35
409,42,0,45
410,42,0,47
411,42,0,59
412,39,0,53
413,39,0,95
414,38,0,43
415,38,0,69
416,38,0,69
417,38,0,60
418,38,0,33
419,38,0,45
420,38,0,37
421,38,0,41
422,38,0,47
423,38,0,57
424,38,0,76
425,38,0,62
426,38,0,59
427,38,0,60
428,38,0,50
429,38,0,60
430,37,0,30
431,37,0,47
432,37,0,25
433,37,0,70
434,37,0,95
435,37,0,74
436,37,0,95
437,37,0,74
438,37,0,62
439,37,0,41
440,37,0,67
441,37,0,50
442,37,0,54
443,36,0,101
444,35,0,81
445,35,0,100
446,35,0,49
447,35,0,99
448,35,0,44
449,35,0,62
450,35,0,70
451,35,0,43
452,35,0,67
453,35,0,73
454,35,0,71
455,34,0,63
456,34,0,64
457,34,0,65
458,34,0,50
459,34,0,63
460,34,0,67
461,35,0,49
462,38,0,61
463,39,0,48
464,39,0,51
465,39,0,40
466,39,0,68
467,39,0,48
468,39,0,61
469,39,0,67
470,39,0,59
471,39,0,73
472,38,0,59
473,38,0,65
474,38,0,48
475,37,0,54
476,37,0,40
477,37,0,47
478,37,0,69
479,37,0,68
480,37,0,46
481,36,0,39
482,35,0,25
483,35,0,74
484,35,0,47
485,35,0,42
486,35,0,69
487,34,0,31
488,34,0,65
489,34,0,64
490,35,0,77
491,35,0,68
492,35,0,69
493,36,0,67
494,36,0,62
495,36,0,63
496,36,0,56
497,36,0,53
498,36,0,49
499,36,0,58
500,36,0,20
501,36,0,53
502,36,0,57
503,36,0,20
504,35,0,14
505,35,0,44
506,35,0,59
507,34,0,57
508,32,0,67
509,32,0,62
510,32,0,67
511,32,0,43
512,32,0,66
513,32,0,66
514,32,0,67
515,31,0,59
516,32,0,79
517,33,0,44
518,33,0,43
519,33,0,42
520,33,0,41
521,33,0,42
522,32,0,63
523,32,0,62
524,31,0,63
525,31,0,78
526,31,0,51
527,31,0,67
528,31,0,59
529,31,0,67
530,31,0,73
531,31,0,83
532,31,0,65
533,31,0,71
534,31,0,60
535,31,0,74
536,31,0,56
537,31,0,61
538,31,0,74
539,31,0,61
540,34,0,34
541,35,0,48
542,36,0,55
543,37,0,46
544,37,0,44
545,38,0,69
546,38,0,46
547,38,0,54
548,38,0,51
549,38,0,45
550,38,0,73
551,38,0,61
552,38,0,60
553,37,0,74
554,37,0,70
555,37,0,57
556,37,0,72
557,37,0,58
558,37,0,45
559,37,0,64
560,37,0,60
561,36,0,64
562,36,0,57
563,36,0,61
564,36,0,47
565,36,0,54
566,35,0,56
567,35,0,50
568,35,0,75
569,35,0,73
570,35,0,67
571,35,0,57
572,37,0,47
573,37,0,65
574,38,0,65
575,38,0,29
576,40,0,66
577,42,0,57
578,42,0,22
579,40,0,40
580,41,0,24
581,41,0,40
582,41,0,46
583,41,0,20
584,41,0,44
585,41,0,63
586,40,0,66
587,40,0,41
588,40,0,58
589,40,0,55
590,40,0,49
591,39,0,62
592,39,0,50
593,39,0,63
594,38,0,74
595,38,0,71
596,38,0,56
597,38,0,53
598,37,0,30
599,37,0,66
600,37,0,69
601,36,0,59
602,36,0,37
603,36,0,43
604,35,0,44
605,35,0,70
606,35,0,57
607,34,0,65
608,34,0,55
609,34,0,63
610,34,0,73
611,34,0,79
612,34,0,65
613,34,0,65
614,34,0,60
615,34,0,57
616,34,0,62
617,34,0,80
618,33,0,63
619,33,0,54
620,33,0,61
621,33,0,48
622,33,0,69
623,32,0,42
624,32,0,61
625,32,0,59
626,31,0,66
627,31,0,54
628,31,0,74
629,31,0,76
630,31,0,62
631,31,0,80
632,31,0,42
633,30,0,69
634,30,0,64
635,30,0,53
636,30,0,63
637,30,0,84
638,30,0,71
639,30,0,75
640,30,0,67
641,29,0,53
642,29,0,64
643,29,0,68
644,29,0,74
645,29,0,56
646,29,0,56
647,29,0,64
648,29,0,75
649,29,0,68
650,28,0,65
651,28,0,62
652,28,0,64
653,28,0,70
654,28,0,79
655,28,0,73
656,28,0,65
657,27,0,37
658,27,0,66
659,27,0,52
660,27,0,51
661,26,0,73
662,25,0,61
663,25,0,63
664,25,0,54
665,25,0,15
666,25,0,72
667,25,0,60
668,25,0,67
669,25,0,88
670,25,0,63
671,25,0,73
672,25,0,76
673,25,0,75
674,25,0,73
675,25,0,84
676,25,0,80
